t,usb0,mac,carrier,host_txp,host_rxp,ping15,ping82,http22,status8080
14:53:23,1,36:f7:e9:0c:86:ad,1,2197,145,N,N,N,N
14:53:27,1,36:f7:e9:0c:86:ad,1,2204,145,N,N,N,N
14:53:31,1,36:f7:e9:0c:86:ad,1,2209,145,N,N,N,N
14:53:35,1,36:f7:e9:0c:86:ad,1,2216,145,N,N,N,N
14:53:39,1,36:f7:e9:0c:86:ad,1,2221,145,N,N,N,N
14:53:43,1,36:f7:e9:0c:86:ad,1,2228,145,N,N,N,N
14:53:47,1,36:f7:e9:0c:86:ad,1,2233,145,N,N,N,N
14:53:51,1,36:f7:e9:0c:86:ad,1,2240,145,N,N,N,N
14:53:56,1,36:f7:e9:0c:86:ad,1,2245,145,N,N,N,N
14:54:00,1,36:f7:e9:0c:86:ad,1,2252,145,N,N,N,N
14:54:04,1,36:f7:e9:0c:86:ad,1,2257,145,N,N,N,N
14:54:08,1,36:f7:e9:0c:86:ad,1,2264,145,N,N,N,N
14:54:12,1,36:f7:e9:0c:86:ad,1,2269,145,N,N,N,N
14:54:16,1,36:f7:e9:0c:86:ad,1,2276,145,N,N,N,N
14:54:20,1,36:f7:e9:0c:86:ad,1,2281,145,N,N,N,N
